Species,Estimated population,Fraction Population in PA1,Fraction Population in PA2,Fraction Population lost 2013,Fraction Population lost 2050 BAU,Fraction Population lost 2050 IGS,Fraction Population lost PA 2013,Fraction Population lost PA 2050 BAU,Fraction Population lost PA 2050 IGS,IUCN2013,IUCN2050BAU,IUCN2050IGS,,,,,last modified 02/07/2015
Carpotroche brasiliensis,2236014,0.063,0.427,0.033,0.660,0.273,0.000,0.322,0.135,,EN,,,,,,
Couratari calycina,2235344,0.217,0.177,0.012,0.286,0.134,0.000,0.150,0.031,,,,,,,,
Oxandra dielsiana,2234983,0.043,0.527,0.101,0.468,0.166,0.001,0.219,0.030,,VU,,,,,,
Hebepetalum roraimense,2234903,0.134,0.424,0.042,0.396,0.165,0.000,0.157,0.027,,VU,,,,,,
Casearia manausensis,2234458,0.038,0.445,0.030,0.319,0.159,0.000,0.119,0.047,,VU,,,,,,
Bellucia subandina,2230750,0.120,0.264,0.081,0.421,0.260,0.002,0.076,0.037,,VU,,,,,,
Vochysia punctata,2227654.255,0.169362548,0.453420438,0.026506844,0.079917634,0.06950869,0.000658283,0.024286678,0.027247393,,,,,,,,
Annona neochrysocarpa,2227470,0.034,0.232,0.027,0.089,0.069,0.001,0.018,0.017,,,,,,,,
Miconia grandifolia,2226595,0.198,0.186,0.105,0.259,0.200,0.002,0.027,0.022,,,,,,,,
Ocotea ucayalensis,2219729,0.106,0.244,0.087,0.263,0.207,0.002,0.036,0.028,,,,,,,,
Pouteria pentamera,2213186,0.050,0.503,0.031,0.507,0.262,0.000,0.207,0.088,,EN,,,,,,
Rhodostemonodaphne revolutifolia,2193918,0.264,0.414,0.005,0.241,0.050,0.000,0.205,0.024,,,,,,,,
Caraipa ampla,2193680,0.040,0.516,0.016,0.099,0.053,0.000,0.035,0.020,,,,,,,,
Guatteria elegantissima,2193680,0.040,0.516,0.016,0.099,0.053,0.000,0.035,0.020,,,,,,,,
Schoenobiblus peruvianus,2191100,0.069,0.493,0.047,0.228,0.136,0.001,0.053,0.025,,,,,,,,
Swartzia amshoffiana,2189493,0.156,0.496,0.014,0.235,0.099,0.001,0.128,0.036,,,,,,,,
Miconia tetraspermoides,2187488,0.033,0.187,0.069,0.315,0.217,0.002,0.067,0.030,,VU,,,,,,
Duroia gransabanensis,2185377,0.051,0.434,0.020,0.628,0.264,0.000,0.290,0.111,,EN,,,,,,
Phoebe paniculata,2183128,0.101,0.532,0.072,0.603,0.189,0.000,0.306,0.025,,EN,,,,,,
Cecropia obtusifolia,2156577,0.169,0.293,0.204,0.341,0.235,0.001,0.043,0.009,,VU,,,,,,
Andira macrocarpa,2151317,0.159,0.199,0.091,0.251,0.179,0.002,0.030,0.022,,,,,,,,
Cavanillesia hylogeiton,2150216,0.212,0.245,0.104,0.238,0.144,0.001,0.044,0.018,,,,,,,,
Couepia hostmanniana,2147571,0.043,0.129,0.594,0.844,0.695,0.033,0.077,0.047,EN,CR,EN,,,,,
Angostura silvestris,2145800,0.049,0.279,0.132,0.633,0.399,0.002,0.133,0.057,,EN,VU,,,,,
Byrsonima schunkei,2138843,0.012,0.463,0.069,0.543,0.291,0.003,0.163,0.071,,EN,,,,,,
Sapium jenmanii,2131834,0.033,0.381,0.014,0.053,0.028,0.000,0.017,0.007,,,,,,,,
Swartzia acreana,2131577,0.006,0.681,0.061,0.658,0.226,0.001,0.411,0.080,,EN,,,,,,
Stryphnodendron purpureum,2129359,0.117,0.368,0.068,0.169,0.093,0.001,0.035,0.008,,,,,,,,
Handroanthus chrysotrichus,2119918,0.296,0.219,0.038,0.192,0.120,0.000,0.048,0.026,,,,,,,,
Calyptranthes tessmannii,2117588,0.232,0.167,0.097,0.347,0.193,0.005,0.053,0.029,,VU,,,,,,
Casearia obovalis,2116908,0.175,0.360,0.043,0.324,0.186,0.003,0.082,0.036,,VU,,,,,,
Swartzia dipetala,2116801,0.155,0.570,0.018,0.148,0.068,0.001,0.069,0.025,,,,,,,,
Albizia decandra,2114744,0.019,0.541,0.101,0.595,0.284,0.001,0.272,0.096,,EN,,,,,,
Stylogyne longifolia,2113593,0.116,0.458,0.051,0.174,0.105,0.003,0.065,0.038,,,,,,,,
Meliosma boliviensis,2107114,0.160,0.444,0.041,0.146,0.090,0.001,0.048,0.027,,,,,,,,
Swartzia apetala,2106212,0.023,0.320,0.213,0.735,0.361,0.005,0.158,0.031,,EN,VU,,,,,
Plathymenia reticulata,2101894,0.011,0.232,0.447,0.729,0.474,0.005,0.041,0.006,VU,EN,VU,,,,,
Guatteria chrysophylla,2101863,0.032,0.533,0.010,0.076,0.028,0.000,0.027,0.011,,,,,,,,
Aspidosperma inundatum,2099057,0.339,0.272,0.049,0.428,0.167,0.001,0.294,0.066,,VU,,,,,,
Abarema campestris,2098574,0.009,0.504,0.080,0.672,0.254,0.001,0.280,0.062,,EN,,,,,,
Piptocarpha macropoda,2096624,0.029,0.240,0.303,0.772,0.357,0.000,0.114,0.014,VU,EN,VU,,,,,
Faramea platyneura,2082085,0.021,0.524,0.053,0.632,0.258,0.001,0.298,0.068,,EN,,,,,,
Maytenus evonymoides,2081749,0.037,0.492,0.187,0.733,0.271,0.002,0.289,0.016,,EN,,,,,,
Machaerium aristulatum,2080004,0.120,0.426,0.119,0.349,0.195,0.001,0.085,0.020,,VU,,,,,,
Zygia heteroneura,2068762.694,0.098517389,0.330586439,0.058244427,0.206175148,0.166904561,0.002395148,0.058157605,0.045156522,,,,,,,,
Endlicheria griseo-sericea,2066317,0.238,0.117,0.105,0.371,0.213,0.005,0.052,0.029,,VU,,,,,,
Machaerium leucopterum,2062853,0.019,0.389,0.089,0.276,0.159,0.001,0.069,0.020,,,,,,,,
Ouratea racemiformis,2062846,0.011,0.166,0.557,0.850,0.649,0.011,0.074,0.025,EN,CR,EN,,,,,
Byrsonima basiloba,2057514,0.009,0.210,0.409,0.766,0.463,0.013,0.054,0.011,VU,EN,VU,,,,,
Calyptranthes pulchella,2055463,0.216,0.450,0.024,0.056,0.051,0.000,0.015,0.022,,,,,,,,
Simira pisoniiformis,2051378,0.100,0.537,0.039,0.347,0.226,0.002,0.120,0.069,,VU,,,,,,
Rudgea verticillata,2048028,0.047,0.273,0.033,0.110,0.086,0.001,0.022,0.021,,,,,,,,
Lissocarpa jensonii,2045351,0.056,0.517,0.040,0.180,0.101,0.002,0.067,0.035,,,,,,,,
Cordia ulei,2044850,0.038,0.433,0.017,0.078,0.047,0.000,0.034,0.019,,,,,,,,
Ficus martinii,2043844,0.030,0.358,0.085,0.309,0.178,0.001,0.066,0.020,,VU,,,,,,
Pouteria ericoides,2039671,0.050,0.504,0.029,0.500,0.258,0.000,0.205,0.087,,EN,,,,,,
Schoenobiblus amazonicus,2031607,0.035,0.513,0.015,0.107,0.053,0.000,0.032,0.017,,,,,,,,
Ampelocera longissima,2027269,0.126,0.219,0.090,0.241,0.190,0.002,0.028,0.023,,,,,,,,
Macrolobium montanum,2027145,0.109,0.354,0.007,0.052,0.065,0.000,0.029,0.022,,,,,,,,
Tabernaemontana siphilitica,2027145,0.109,0.354,0.007,0.052,0.065,0.000,0.029,0.022,,,,,,,,
Swartzia schunkei,2026292,0.121,0.456,0.053,0.176,0.108,0.003,0.065,0.039,,,,,,,,
Myrcia floribunda,2025229,0.120,0.538,0.015,0.213,0.096,0.000,0.120,0.044,,,,,,,,
Senna spectabilis,2024073,0.082,0.214,0.272,0.444,0.270,0.001,0.039,0.004,,VU,,,,,,
Coccoloba spruceana,2021846,0.138,0.182,0.101,0.259,0.202,0.002,0.028,0.022,,,,,,,,
Pouteria nudipetala,2021707,0.116,0.334,0.027,0.143,0.107,0.001,0.037,0.023,,,,,,,,
Mouriri densifoliata,2021219,0.151,0.419,0.040,0.377,0.152,0.000,0.148,0.020,,VU,,,,,,
Miconia dodecandra,2020918,0.215,0.227,0.153,0.333,0.273,0.001,0.033,0.028,,VU,,,,,,
Aniba affinis,2019824,0.140,0.636,0.054,0.246,0.085,0.001,0.117,0.014,,,,,,,,
Metteniusa tessmanniana,2019545,0.101,0.254,0.127,0.301,0.251,0.001,0.036,0.028,,VU,,,,,,
Cupania polyodonta,2013548,0.160,0.296,0.189,0.312,0.212,0.001,0.037,0.007,,VU,,,,,,
Matayba adenanthera,2011447,0.142,0.347,0.051,0.139,0.097,0.000,0.024,0.018,,,,,,,,
Erythroxylum tucuruiense,2010422,0.074,0.355,0.015,0.255,0.122,0.000,0.063,0.017,,,,,,,,
Swartzia amplifolia,2008912,0.090,0.474,0.017,0.074,0.054,0.000,0.021,0.017,,,,,,,,
Acinodendron regnellii,2008153,0.012,0.292,0.006,0.079,0.025,0.000,0.032,0.006,,,,,,,,
Guatteria pastazae,2007660,0.043,0.183,0.029,0.081,0.063,0.000,0.012,0.011,,,,,,,,
Machaerium biovulatum,2006742,0.035,0.491,0.207,0.392,0.221,0.003,0.107,0.020,,VU,,,,,,
Gomidesia lindeniana,2005913,0.006,0.261,0.321,0.687,0.410,0.000,0.025,0.003,VU,EN,VU,,,,,
Zanthoxylum rigidum,2005912.606,0.005764382,0.260673461,0.321457674,0.687017351,0.410467456,0.000461638,0.025051697,0.002965072,VU,EN,VU,,,,,
Psychotria ernestii,2005349,0.240,0.149,0.100,0.357,0.199,0.005,0.053,0.028,,VU,,,,,,
Licania vaupesiana,2001219,0.139,0.610,0.008,0.032,0.027,0.000,0.013,0.015,,,,,,,,
Tachigali davidsei,2000483,0.103,0.412,0.049,0.173,0.139,0.004,0.066,0.051,,,,,,,,
Macrocnemum dissimiliflorum,1996611,0.222,0.437,0.023,0.053,0.045,0.000,0.013,0.018,,,,,,,,
Protium alvarezianum,1992072,0.040,0.457,0.045,0.195,0.111,0.002,0.067,0.037,,,,,,,,
Maytenus erythrocarpa,1991933,0.085,0.228,0.250,0.442,0.253,0.001,0.055,0.005,,VU,,,,,,
Pouteria sessilis,1989787,0.084,0.484,0.048,0.186,0.109,0.003,0.069,0.037,,,,,,,,
Eschweilera squamata,1988123,0.233,0.269,0.011,0.317,0.139,0.000,0.201,0.056,,VU,,,,,,
Conchocarpus ucayalinus,1986194,0.007,0.651,0.062,0.654,0.211,0.001,0.397,0.071,,EN,,,,,,
Alchornea floribunda,1984335,0.028,0.479,0.007,0.057,0.020,0.000,0.016,0.006,,,,,,,,
Byrsonima eugeniifolia,1984060,0.156,0.420,0.038,0.370,0.147,0.000,0.147,0.021,,VU,,,,,,
Capparis hastata,1982705,0.062,0.332,0.353,0.685,0.436,0.001,0.174,0.027,VU,EN,VU,,,,,
Stylogyne laxiflora,1981867,0.130,0.600,0.017,0.048,0.050,0.000,0.020,0.031,,,,,,,,
Diospyros brasiliensis,1979276,0.006,0.233,0.339,0.709,0.433,0.000,0.027,0.003,VU,EN,VU,,,,,
Ocotea cuprea,1972181,0.039,0.338,0.290,0.564,0.382,0.012,0.093,0.041,,EN,VU,,,,,
Eugenia stipitata,1970314,0.053,0.486,0.165,0.673,0.244,0.002,0.278,0.016,,EN,,,,,,
Zygia sabatieri,1969379.501,0.19929912,0.204789008,0.015045594,0.413779178,0.219352689,0,0.210900404,0.070652646,,VU,,,,,,
Remijia hispida,1968138,0.111,0.612,0.012,0.137,0.047,0.001,0.063,0.019,,,,,,,,
Annona leptopetala,1963219,0.079,0.457,0.052,0.656,0.278,0.000,0.317,0.111,,EN,,,,,,
Byrsonima lancifolia,1963219,0.079,0.457,0.052,0.656,0.278,0.000,0.317,0.111,,EN,,,,,,
Manilkara rufula,1960934,0.015,0.657,0.050,0.654,0.194,0.000,0.415,0.075,,EN,,,,,,
Swartzia microcarpa,1959742,0.097,0.533,0.039,0.356,0.233,0.002,0.122,0.071,,VU,,,,,,
Tachigali macrostachya,1957305,0.037,0.406,0.274,0.726,0.400,0.017,0.244,0.059,,EN,VU,,,,,
Guapira glabriflora,1957118,0.262,0.313,0.071,0.148,0.102,0.000,0.021,0.016,,,,,,,,
Sterigmapetalum exappendiculatum,1954024,0.116,0.584,0.043,0.141,0.102,0.003,0.065,0.042,,,,,,,,
Sterculia rebeccae,1952723,0.189,0.279,0.082,0.175,0.122,0.001,0.033,0.018,,,,,,,,
Ouratea guianensis,1951162,0.324,0.283,0.118,0.347,0.168,0.006,0.170,0.022,,VU,,,,,,
Trichilia grandifolia,1948950.686,0.073195312,0.521410144,0.041021151,0.535550821,0.249924786,0.000152627,0.253706203,0.084831817,,EN,,,,,,
Aspidosperma quirandy,1948219,0.090,0.210,0.258,0.423,0.258,0.001,0.038,0.004,,VU,,,,,,
Bonyunia minor,1947332,0.144,0.529,0.051,0.159,0.108,0.004,0.068,0.043,,,,,,,,
Anthodiscus obovatus,1943800,0.145,0.532,0.047,0.148,0.101,0.004,0.063,0.041,,,,,,,,
Trigynaea triplinervis,1940189.104,0.187367411,0.123092424,0.162684945,0.466509828,0.34428939,0.006760516,0.052508095,0.032416502,,VU,VU,,,,,
Caryodaphnopsis inaequalis,1935610,0.098,0.484,0.010,0.043,0.027,0.000,0.017,0.012,,,,,,,,
Plumeria versicolor,1932705,0.029,0.635,0.070,0.574,0.260,0.001,0.327,0.128,,EN,,,,,,
Simira macrocrater,1929224,0.178,0.311,0.077,0.269,0.163,0.001,0.059,0.025,,,,,,,,
Guarea subsessilifolia,1922885,0.017,0.158,0.633,0.845,0.691,0.017,0.077,0.037,EN,CR,EN,,,,,
Abarema gallorum,1922441,0.260,0.225,0.013,0.396,0.174,0.000,0.248,0.065,,VU,,,,,,
Vitex schunkei,1922131.969,0.153439148,0.199184265,0.096057496,0.239194029,0.189789868,0.002107165,0.025443184,0.020999655,,,,,,,,
Rhodostemonodaphne parvifolia,1920665,0.038,0.432,0.017,0.652,0.262,0.000,0.288,0.090,,EN,,,,,,
Mezilaurus triunca,1919707,0.125,0.275,0.076,0.194,0.152,0.002,0.027,0.020,,,,,,,,
Tovomita acuminata,1918109,0.015,0.608,0.049,0.648,0.197,0.000,0.381,0.066,,EN,,,,,,
Calyptranthes simulata,1917987,0.049,0.434,0.027,0.070,0.046,0.001,0.029,0.021,,,,,,,,
Capparis amazonica,1913365,0.013,0.282,0.419,0.811,0.518,0.016,0.136,0.040,VU,CR,EN,,,,,
Guatteria hispida,1906364,0.160,0.120,0.070,0.306,0.231,0.001,0.013,0.012,,VU,,,,,,
Ocotea baturitensis,1904635,0.133,0.331,0.053,0.359,0.220,0.001,0.062,0.029,,VU,,,,,,
Amyris macrocarpa,1901499,0.159,0.116,0.163,0.483,0.357,0.008,0.056,0.033,,VU,VU,,,,,
Mouriri torquata,1901031,0.041,0.368,0.047,0.576,0.308,0.001,0.167,0.067,,EN,VU,,,,,
Garcinia intermedia,1899986,0.148,0.277,0.072,0.162,0.133,0.001,0.021,0.022,,,,,,,,
Neosprucea grandiflora,1896651,0.149,0.218,0.084,0.221,0.170,0.002,0.026,0.022,,,,,,,,
Alibertia itayensis,1889269,0.206,0.201,0.094,0.247,0.187,0.002,0.029,0.022,,,,,,,,
Attalea insignis,1888821,0.068,0.507,0.047,0.220,0.130,0.003,0.083,0.049,,,,,,,,
Cinnamomum cinnamomifolium,1887640,0.029,0.437,0.089,0.338,0.154,0.001,0.090,0.017,,VU,,,,,,
Mouriri laxiflora,1887441,0.187,0.179,0.118,0.311,0.229,0.003,0.035,0.025,,VU,,,,,,
Cupania emarginata,1885993,0.071,0.631,0.009,0.144,0.038,0.000,0.056,0.014,,,,,,,,
Calyptranthes krugioides,1883357,0.061,0.471,0.034,0.124,0.074,0.001,0.048,0.027,,,,,,,,
Ficus matiziana,1881509,0.089,0.507,0.045,0.499,0.173,0.000,0.254,0.044,,VU,,,,,,
Vismia sessilifolia,1875735.67,0.081784735,0.211756012,0.236579726,0.538461202,0.340343652,0.008987869,0.110111713,0.023481283,,EN,VU,,,,,
Calycorectes psidiiflorus,1870825,0.012,0.234,0.451,0.730,0.474,0.005,0.042,0.006,VU,EN,VU,,,,,
Ryania pyrifera,1870730,0.145,0.534,0.037,0.205,0.097,0.003,0.089,0.040,,,,,,,,
Macrolobium stenocladum,1870431,0.192,0.190,0.092,0.224,0.180,0.002,0.023,0.019,,,,,,,,
Ouratea chiribiquetensis,1866432,0.090,0.643,0.010,0.372,0.160,0.000,0.226,0.078,,VU,,,,,,
Ficus ypsilophlebia,1865692,0.157,0.422,0.049,0.224,0.132,0.002,0.070,0.038,,,,,,,,
Maytenus laevis,1859569,0.354,0.295,0.015,0.031,0.026,0.000,0.007,0.009,,,,,,,,
Neea glomeruliflora,1857676,0.044,0.161,0.645,0.861,0.723,0.047,0.090,0.057,EN,CR,EN,,,,,
Billia rosea,1856918,0.132,0.072,0.295,0.661,0.575,0.002,0.056,0.047,,EN,EN,,,,,
Calyptranthes amshoffae,1850787,0.009,0.353,0.026,0.189,0.071,0.000,0.066,0.014,,,,,,,,
Ficus donnell-smithii,1846954,0.098,0.218,0.090,0.353,0.220,0.002,0.065,0.032,,VU,,,,,,
Wettinia drudei,1842662.468,0.056313053,0.249231567,0.041411901,0.13032,0.098765381,0.00106806,0.023713438,0.021215726,,,,,,,,
Aegiphila membranacea,1839221,0.012,0.571,0.014,0.154,0.067,0.000,0.040,0.019,,,,,,,,
Agouticarpa williamsii,1834567,0.222,0.437,0.023,0.053,0.046,0.000,0.013,0.018,,,,,,,,
Annona dolichopetala,1832775,0.127,0.204,0.085,0.220,0.174,0.002,0.026,0.021,,,,,,,,
Cassia grandis,1827320,0.131,0.426,0.130,0.469,0.252,0.001,0.172,0.047,,VU,,,,,,
Vochysia rufa,1825366.777,0.009084305,0.217492204,0.421642765,0.748880711,0.46707701,0.009747654,0.048103852,0.009093572,VU,EN,VU,,,,,
Mayna parvifolia,1819712,0.217,0.303,0.062,0.303,0.190,0.002,0.059,0.030,,VU,,,,,,
Euceraea nitida,1818042,0.272,0.357,0.028,0.061,0.052,0.000,0.012,0.017,,,,,,,,
Tepuianthus colombianus,1818042,0.272,0.357,0.028,0.061,0.052,0.000,0.012,0.017,,,,,,,,
Phytelephas seemannii,1817994,0.035,0.286,0.130,0.512,0.309,0.004,0.087,0.027,,EN,VU,,,,,
Protium plagiocarpium,1817453,0.213,0.201,0.010,0.255,0.131,0.000,0.132,0.030,,,,,,,,
Couratari gloriosa,1816549,0.089,0.440,0.012,0.175,0.068,0.000,0.056,0.014,,,,,,,,
Cleidion amazonicum,1816253,0.138,0.622,0.006,0.028,0.024,0.000,0.013,0.015,,,,,,,,
Ocotea panurensis,1813860,0.009,0.628,0.061,0.604,0.233,0.001,0.371,0.080,,EN,,,,,,
Anthodiscus peruanus,1813858,0.135,0.422,0.032,0.172,0.116,0.001,0.035,0.023,,,,,,,,
Simaba morettii,1812872,0.190,0.166,0.010,0.245,0.132,0.000,0.120,0.027,,,,,,,,
Macrolobium huberianum,1811951,0.080,0.488,0.046,0.184,0.106,0.002,0.069,0.036,,,,,,,,
Talisia princeps,1811381,0.165,0.155,0.154,0.455,0.343,0.006,0.053,0.032,,VU,VU,,,,,
Zanthoxylum monogynum,1808065.188,0.135838748,0.209976268,0.266845096,0.455655355,0.31999263,0.001762786,0.038640486,0.008567269,,VU,VU,,,,,
Ormosia elata,1801550,0.135,0.228,0.074,0.176,0.143,0.001,0.021,0.019,,,,,,,,
Cordia lasseri,1801195,0.032,0.533,0.010,0.076,0.028,0.000,0.027,0.011,,,,,,,,
Allophylus racemosus,1800867,0.054,0.408,0.258,0.421,0.286,0.000,0.078,0.012,,VU,,,,,,
Couepia cidiana,1800835,0.032,0.238,0.335,0.707,0.405,0.000,0.103,0.014,VU,EN,VU,,,,,
Terminalia crispialata,1796933,0.108,0.646,0.031,0.206,0.104,0.002,0.126,0.059,,,,,,,,
Pouteria putamen-ovi,1796757,0.078,0.349,0.075,0.200,0.158,0.001,0.040,0.028,,,,,,,,
Nectandra fulva,1786948,0.270,0.494,0.033,0.101,0.072,0.004,0.054,0.037,,,,,,,,
Piper obliquum,1786203,0.150,0.273,0.270,0.469,0.306,0.002,0.057,0.010,,VU,VU,,,,,
Duroia longifolia,1785845,0.023,0.326,0.032,0.641,0.320,0.000,0.167,0.051,,EN,VU,,,,,
Tachigali goeldiana,1784170,0.048,0.454,0.029,0.122,0.072,0.001,0.048,0.027,,,,,,,,
Xylosma tessmannii,1779067.148,0.112448872,0.272696561,0.027058345,0.185522936,0.133828863,0.000551976,0.028900921,0.017668919,,,,,,,,
Myrcia crassimarginata,1777784,0.084,0.484,0.048,0.186,0.109,0.003,0.069,0.037,,,,,,,,
Tetrameranthus guianensis,1776957,0.188,0.310,0.009,0.238,0.101,0.000,0.151,0.039,,,,,,,,
Coccoloba ochreolata,1776953,0.198,0.205,0.126,0.265,0.167,0.001,0.021,0.004,,,,,,,,
Micropholis gnaphaloclados,1776953,0.198,0.205,0.126,0.265,0.167,0.001,0.021,0.004,,,,,,,,
Licania latistipula,1769121,0.232,0.211,0.009,0.268,0.119,0.000,0.165,0.037,,,,,,,,
Campomanesia aurea,1765105,0.030,0.632,0.070,0.574,0.262,0.002,0.325,0.129,,EN,,,,,,
Trichilia singularis,1764517.277,0.010611594,0.519990742,0.102164151,0.631992814,0.260915969,0.000963283,0.290828469,0.064312757,,EN,,,,,,
Miconia hylophila,1764268,0.057,0.232,0.022,0.063,0.053,0.001,0.014,0.013,,,,,,,,
Bauhinia cinnamomea,1761138,0.051,0.474,0.043,0.586,0.206,0.000,0.293,0.054,,EN,,,,,,
Miconia stipitata,1760858,0.097,0.632,0.010,0.380,0.166,0.000,0.232,0.081,,VU,,,,,,
Henriettea lasiostylis,1757886,0.016,0.515,0.088,0.219,0.119,0.001,0.072,0.016,,,,,,,,
Zygia tetragona,1757072.428,0.170730517,0.146423939,0.012692143,0.241270037,0.134352418,6.30687E-05,0.09627584,0.019641655,,,,,,,,
Chomelia gracilis,1755795,0.013,0.475,0.005,0.057,0.016,0.000,0.015,0.004,,,,,,,,
Eriotheca roseorum,1754572,0.170,0.296,0.181,0.282,0.188,0.001,0.034,0.006,,,,,,,,
Anacardium microsepalum,1754015,0.038,0.251,0.277,0.507,0.367,0.019,0.079,0.037,,EN,VU,,,,,
Tovomitidium clusiiflorum,1749367.45,0.013481909,0.630658494,0.051627745,0.635199283,0.19129126,0.000518545,0.379409034,0.065310011,,EN,,,,,,
Heisteria amphoricarpa,1745218,0.160,0.231,0.070,0.187,0.081,0.003,0.020,0.012,,,,,,,,
Vismia floribunda,1742770.346,0.086836555,0.352897395,0.045203552,0.148381121,0.095494222,0.001933794,0.04816427,0.029580366,,,,,,,,
Adiscanthus fusciflorus,1741194,0.063,0.438,0.039,0.225,0.134,0.002,0.076,0.040,,,,,,,,
Angostura longiflora,1739864,0.074,0.277,0.114,0.434,0.263,0.003,0.080,0.029,,VU,,,,,,
Miconia regelii,1739281,0.060,0.489,0.051,0.554,0.251,0.000,0.229,0.069,,EN,,,,,,
Dictyoloma vandellianum,1737819,0.137,0.293,0.236,0.385,0.263,0.002,0.045,0.009,,VU,,,,,,
Chionanthus implicatus,1736033,0.129,0.188,0.084,0.214,0.164,0.002,0.024,0.020,,,,,,,,
Quiina sessilis,1732405,0.540,0.310,0.005,0.362,0.041,0.000,0.336,0.023,,VU,,,,,,
Miconia symplectocaulos,1732382,0.048,0.382,0.040,0.098,0.079,0.001,0.023,0.017,,,,,,,,
Crudia humboldtiana,1730194,0.141,0.620,0.006,0.028,0.024,0.000,0.013,0.015,,,,,,,,
Endlicheria rubriflora,1729023,0.104,0.344,0.043,0.256,0.155,0.001,0.055,0.028,,,,,,,,
Psychotria racemosa,1727114,0.005,0.366,0.474,0.756,0.484,0.008,0.160,0.024,VU,EN,VU,,,,,
Guapira graciliflora,1725757,0.005,0.208,0.402,0.747,0.465,0.010,0.047,0.010,VU,EN,VU,,,,,
Connarus fasciculatus,1722278,0.060,0.332,0.383,0.569,0.433,0.000,0.080,0.015,VU,EN,VU,,,,,
Exostyles amazonica,1721294,0.058,0.449,0.156,0.641,0.234,0.002,0.260,0.019,,EN,,,,,,
Sloanea pubiflora,1716384,0.169,0.501,0.008,0.027,0.030,0.000,0.012,0.016,,,,,,,,
Esenbeckia pilocarpoides,1714639,0.009,0.141,0.673,0.864,0.724,0.018,0.061,0.037,EN,CR,EN,,,,,
Inga megalobotrys,1711217,0.160,0.448,0.040,0.152,0.093,0.001,0.049,0.027,,,,,,,,
Casearia mollis,1707887,0.032,0.534,0.010,0.076,0.028,0.000,0.027,0.011,,,,,,,,
Duguetia yeshidan,1705969,0.065,0.574,0.015,0.271,0.103,0.000,0.097,0.031,,,,,,,,
Porocystis toulicioides,1705876,0.029,0.282,0.356,0.712,0.487,0.009,0.140,0.048,VU,EN,VU,,,,,
Eugenia aurata,1705237,0.006,0.213,0.456,0.771,0.499,0.005,0.049,0.007,VU,EN,VU,,,,,
Hirtella macrophylla,1700903,0.097,0.265,0.076,0.196,0.153,0.001,0.028,0.024,,,,,,,,
Jacqueshuberia loretensis,1694459,0.054,0.447,0.031,0.089,0.054,0.001,0.037,0.025,,,,,,,,
Inga cuspidata,1694250,0.005,0.349,0.481,0.781,0.495,0.009,0.167,0.026,VU,EN,VU,,,,,
Couratari riparia,1693959,0.057,0.167,0.029,0.190,0.132,0.001,0.037,0.021,,,,,,,,
Eugenia chrysophyllum,1688634,0.159,0.580,0.015,0.043,0.043,0.000,0.016,0.023,,,,,,,,
Lonchocarpus longifolius,1688634,0.159,0.580,0.015,0.043,0.043,0.000,0.016,0.023,,,,,,,,
Cinnamomum triplinerve,1688363,0.249,0.224,0.087,0.274,0.184,0.002,0.065,0.025,,,,,,,,
Cordia kingstoniana,1686394,0.032,0.533,0.010,0.076,0.028,0.000,0.027,0.011,,,,,,,,
Marila cespedesiana,1682595,0.187,0.116,0.185,0.381,0.319,0.001,0.040,0.044,,VU,VU,,,,,
Guarea juglandiformis,1682131,0.038,0.472,0.016,0.056,0.032,0.000,0.022,0.014,,,,,,,,
Byrsonima schomburgkiana,1680075,0.118,0.568,0.030,0.250,0.076,0.000,0.112,0.017,,,,,,,,
Aegiphila triflora,1678949,0.169,0.179,0.077,0.258,0.156,0.003,0.038,0.023,,,,,,,,
Croton bilocularis,1675517,0.164,0.350,0.090,0.214,0.165,0.001,0.028,0.022,,,,,,,,
Pouteria gracilis,1667198,0.177,0.203,0.102,0.250,0.198,0.002,0.026,0.022,,,,,,,,
Alexa wachenheimii,1666063,0.132,0.144,0.018,0.228,0.154,0.000,0.074,0.021,,,,,,,,
Erythroxylum impressum,1665918,0.143,0.417,0.042,0.387,0.158,0.000,0.148,0.020,,VU,,,,,,
Exostema maynense,1662833,0.139,0.195,0.193,0.360,0.236,0.002,0.035,0.012,,VU,,,,,,
Abarema longipedunculata,1661520,0.032,0.415,0.007,0.041,0.019,0.000,0.010,0.004,,,,,,,,
Casearia prunifolia,1660263,0.044,0.511,0.011,0.044,0.027,0.000,0.020,0.014,,,,,,,,
Psidium guajava,1654285,0.110,0.335,0.241,0.760,0.498,0.004,0.272,0.104,,EN,VU,,,,,
Vitex guianensis,1652249.237,0.109466587,0.133107689,0.027159271,0.364222665,0.201231803,0.000285472,0.097615008,0.025856289,,VU,,,,,,
Otoba novogranatensis,1646872,0.131,0.070,0.299,0.669,0.584,0.002,0.056,0.048,,EN,EN,,,,,
Roucheria laxiflora,1644375,0.158,0.446,0.038,0.315,0.195,0.001,0.114,0.057,,VU,,,,,,
Yasunia sessiliflora,1644339.826,0.108743119,0.259356397,0.078471455,0.212347059,0.167637768,0.001932633,0.029033666,0.024586659,,,,,,,,
Macrolobium punctatum,1643694.947,0.090483012,0.583169782,0.008069355,0.04799264,0.025740496,0,0.018314745,0.013140593,,,,,,,,
Pleurothyrium bifidum,1642568,0.185,0.183,0.109,0.272,0.213,0.002,0.028,0.022,,,,,,,,
