Species,Estimated population,Fraction Population in PA1,Fraction Population in PA2,Fraction Population lost 2013,Fraction Population lost 2050 BAU,Fraction Population lost 2050 IGS,Fraction Population lost PA 2013,Fraction Population lost PA 2050 BAU,Fraction Population lost PA 2050 IGS,IUCN2013,IUCN2050BAU,IUCN2050IGS,,,,,last modified 02/07/2015
Zygia cataractae,365883604.6,0.105681312,0.428973891,0.065018071,0.250867396,0.122606593,0.001301348,0.063295733,0.025580412,,,,,,,,
Himatanthus sucuuba,364303402,0.058,0.396,0.081,0.378,0.183,0.002,0.118,0.035,,VU,,,,,,
Inga thibaudiana,360846283,0.083,0.357,0.215,0.471,0.289,0.006,0.119,0.033,,VU,,,,,,
Astrocaryum aculeatum,360669969,0.048,0.369,0.231,0.642,0.342,0.002,0.186,0.044,,EN,VU,,,,,
Guarea silvatica,359635850,0.036,0.280,0.337,0.719,0.408,0.004,0.132,0.029,VU,EN,VU,,,,,
Dicymbe corymbosa,358993811,0.050,0.358,0.022,0.107,0.064,0.000,0.031,0.014,,,,,,,,
Toulicia guianensis,355303932,0.049,0.535,0.105,0.434,0.190,0.002,0.197,0.038,,VU,,,,,,
Handroanthus serratifolius,354762936,0.088,0.419,0.106,0.277,0.154,0.002,0.074,0.020,,,,,,,,
Pourouma bicolor,353809320,0.099,0.358,0.155,0.336,0.231,0.005,0.073,0.034,,VU,,,,,,
Siparuna decipiens,353583932,0.140,0.344,0.073,0.352,0.199,0.001,0.110,0.036,,VU,,,,,,
Trichilia micrantha,353551187.2,0.052923393,0.432243867,0.204965837,0.554747248,0.290843672,0.006101057,0.171672278,0.036174646,,EN,,,,,,
Ocotea cernua,352692256,0.034,0.411,0.260,0.562,0.323,0.006,0.145,0.033,,EN,VU,,,,,
Quararibea guianensis,346233983,0.064,0.384,0.127,0.425,0.207,0.005,0.158,0.025,,VU,,,,,,
Ocotea cinerea,344963553,0.073,0.527,0.040,0.447,0.173,0.000,0.241,0.055,,VU,,,,,,
Protium trifoliolatum,344221743,0.092,0.349,0.225,0.598,0.340,0.010,0.170,0.050,,EN,VU,,,,,
Naucleopsis caloneura,344007399,0.052,0.484,0.071,0.540,0.233,0.001,0.243,0.061,,EN,,,,,,
Cupania scrobiculata,340627331,0.104,0.372,0.243,0.577,0.307,0.004,0.190,0.031,,EN,VU,,,,,
Couepia guianensis,339367949,0.081,0.356,0.150,0.437,0.278,0.010,0.117,0.048,,VU,,,,,,
Garcinia macrophylla,339213891,0.094,0.451,0.101,0.324,0.176,0.002,0.106,0.033,,VU,,,,,,
Protium paniculatum,337784977,0.078,0.478,0.065,0.398,0.197,0.001,0.160,0.053,,VU,,,,,,
Hura crepitans,337665262,0.098,0.344,0.127,0.376,0.219,0.004,0.092,0.034,,VU,,,,,,
Nealchornea yapurensis,337659960,0.054,0.504,0.029,0.183,0.090,0.001,0.081,0.030,,,,,,,,
Guatteria olivacea,337344215,0.027,0.559,0.049,0.506,0.199,0.001,0.269,0.075,,EN,,,,,,
Erisma uncinatum,334481196,0.087,0.374,0.200,0.443,0.268,0.004,0.115,0.027,,VU,,,,,,
